molecule_chembl_id,canonical_smiles,pchembl_value,standard_value,standard_units
CHEMBL2417775,CN1N=C(c2ccc(O)cc2)CC1c1ccc(Cl)cc1,5.58,2640.0,nM
CHEMBL2417774,CN1N=C(c2ccc(O)cc2)CC1c1cccc(Cl)c1,5.68,2070.0,nM
CHEMBL2417773,CN1N=C(c2ccc(O)cc2)CC1c1ccccc1Cl,4.98,10440.0,nM
CHEMBL2417772,Cc1ccc(C2CC(c3ccc(O)cc3)=NN2C)cc1,5.72,1910.0,nM
CHEMBL2417771,Cc1cccc(C2CC(c3ccc(O)cc3)=NN2C)c1,5.24,5780.0,nM
CHEMBL2417770,Cc1ccccc1C1CC(c2ccc(O)cc2)=NN1C,4.7,20080.0,nM
CHEMBL2417769,CN1N=C(c2ccc(O)cc2)CC1c1ccc(F)cc1,5.44,3650.0,nM
CHEMBL2417768,CN1N=C(c2ccc(O)cc2)CC1c1cccc(F)c1,5.5,3170.0,nM
CHEMBL2417767,CN1N=C(c2ccc(O)cc2)CC1c1ccccc1F,5.52,3040.0,nM
CHEMBL2417766,CN1N=C(c2ccc(O)cc2)CC1c1ccccc1,4.57,26800.0,nM
CHEMBL2417765,CN1N=C(c2ccccc2)CC1c1ccc(Cl)cc1,5.4,3950.0,nM
CHEMBL2417764,CN1N=C(c2ccccc2)CC1c1cccc(Cl)c1,6.08,840.0,nM
CHEMBL2417763,CN1N=C(c2ccccc2)CC1c1ccccc1Cl,5.44,3650.0,nM
CHEMBL2417762,Cc1ccc(C2CC(c3ccccc3)=NN2C)cc1,8.02,9.6,nM
CHEMBL2417761,Cc1cccc(C2CC(c3ccccc3)=NN2C)c1,6.96,110.0,nM
CHEMBL2417760,Cc1ccccc1C1CC(c2ccccc2)=NN1C,6.96,110.0,nM
CHEMBL2417759,CN1N=C(c2ccccc2)CC1c1ccc(F)cc1,6.85,140.0,nM
CHEMBL2417758,CN1N=C(c2ccccc2)CC1c1cccc(F)c1,7.22,60.0,nM
CHEMBL2417757,CN1N=C(c2ccccc2)CC1c1ccccc1F,6.55,280.0,nM
CHEMBL2417756,CN1N=C(c2ccccc2)CC1c1ccccc1,6.92,120.0,nM
CHEMBL2420792,O=C(/C=C/c1ccc(Br)o1)c1ccc(F)cc1,6.26,543.0,nM
CHEMBL1269118,O=C(/C=C/c1ccco1)c1ccc(F)cc1,5.12,7670.0,nM
CHEMBL2420791,O=C(/C=C/c1ccc(Br)o1)c1cccc(Cl)c1,6.69,206.0,nM
CHEMBL2420790,O=C(/C=C/c1ccc(Cl)o1)c1cccc(Cl)c1,6.76,174.0,nM
CHEMBL2420789,Cc1ccc(/C=C/C(=O)c2cccc(Cl)c2)o1,6.46,344.0,nM
CHEMBL2420788,COc1cccc(/C=C/C(=O)c2ccc(C)o2)c1,5.55,2790.0,nM
