molecule_chembl_id,canonical_smiles,pchembl_value,standard_value,standard_units
CHEMBL2347827,Cc1ncc(-c2ccc3c(NC(C)C)c(C#N)cnc3c2)s1,7.72,16.0,nM
CHEMBL2347826,CC(C)Nc1c(C#N)cnc2cc(-c3ccc(S(=O)(=O)N4CCOCC4)cc3)ccc12,7.925,10.0,nM
CHEMBL2347825,CNS(=O)(=O)c1ccc(-c2ccc3c(NC(C)C)c(C#N)cnc3c2)cc1,8.135000000000002,6.0,nM
CHEMBL2347824,CC(C)Nc1c(C#N)cnc2cc(-c3cnn(C)c3)ccc12,8.225000000000001,5.0,nM
CHEMBL2347823,CC(C)Nc1c(C#N)cnc2cc(-c3ccc(S(C)(=O)=O)cc3)ccc12,7.529999999999999,28.0,nM
CHEMBL2347822,CC(C)Nc1c(-c2cnn(C)c2)cnc2cc(-c3ccc(S(C)(=O)=O)cc3)ccc12,5.675000000000001,2229.0,nM
CHEMBL2347821,CC(C)Nc1c(C2=NCCN2)cnc2cc(-c3ccc(S(C)(=O)=O)cc3)ccc12,4.045,88597.0,nM
CHEMBL2347820,CC(C)Nc1c(-c2nccs2)cnc2cc(-c3ccc(S(C)(=O)=O)cc3)ccc12,5.65,2893.0,nM
CHEMBL2347819,CC(=O)c1cnc2cc(-c3ccc(S(C)(=O)=O)cc3)ccc2c1NC(C)C,7.165,71.0,nM
CHEMBL2349092,O=S(=O)(c1cccc(C(F)(F)F)c1)c1ccc2nnc(-c3ccccc3)n2n1,5.484999999999999,2270.0,nM
CHEMBL2349091,[O-][S+](c1cccc(C(F)(F)F)c1)c1ccc2nnc(-c3ccccc3)n2n1,5.75,1230.0,nM
CHEMBL2349090,N#CC(c1cccc(C(F)(F)F)c1)c1ccc2nnc(-c3ccccc3)n2n1,4.665,18000.0,nM
CHEMBL2349089,O=C(c1cccc(C(F)(F)F)c1)c1ccc2nnc(-c3ccccc3)n2n1,4.97,4570.0,nM
CHEMBL2348983,FC(F)(F)c1cccc(Oc2ccc3nnc(-c4ccccc4)n3n2)c1,5.81,1555.0,nM
CHEMBL2348979,Cc1cc2nnc(-c3cccs3)n2nc1Sc1cccc(C(F)(F)F)c1,5.68,2068.0,nM
CHEMBL2348978,CC(Sc1ccc2nnc(-c3cccc(Cl)c3)n2n1)c1ccn[nH]1,5.9399999999999995,798.0,nM
CHEMBL2348977,CC(Sc1ccc2nnc(-c3cccs3)n2n1)c1nnco1,6.605,162.0,nM
CHEMBL2348976,CC(C)(Sc1ccc2nnc(-c3cccs3)n2n1)C(N)=O,5.5649999999999995,3117.0,nM
CHEMBL2348975,CC(C)C(Sc1ccc2nnc(-c3cccs3)n2n1)C(N)=O,6.0649999999999995,581.0,nM
CHEMBL2348974,CCC(Sc1ccc2nnc(-c3cccs3)n2n1)C(=O)OC,6.625,167.0,nM
CHEMBL2348973,COC(=O)[C@@H](C)Sc1ccc2nnc(-c3cccs3)n2n1,6.53,187.0,nM
CHEMBL2348972,COC(=O)[C@H](C)Sc1ccc2nnc(-c3cccs3)n2n1,6.505,215.0,nM
CHEMBL2348970,c1ccc(Sc2ccc3nnc(-c4cncs4)n3n2)cc1,6.824999999999999,141.0,nM
CHEMBL2348969,FC(F)(F)c1ccnc(Sc2ccc3nnc(-c4cncs4)n3n2)n1,7.11,33.0,nM
CHEMBL2348968,c1cnc(Sc2ccc3nnc(-c4cncs4)n3n2)nc1,6.965,101.0,nM
CHEMBL2348967,FC(F)(F)Oc1cccc(Sc2ccc3nnc(-c4cncs4)n3n2)c1,6.859999999999999,67.0,nM
CHEMBL2348965,COc1cccc(Sc2ccc3nnc(-c4cncs4)n3n2)c1,7.220000000000001,26.0,nM
CHEMBL2348964,Fc1cccc(Sc2ccc3nnc(-c4cncs4)n3n2)c1,6.9399999999999995,77.0,nM
CHEMBL2348961,FC(F)(F)c1ccccc1Sc1ccc2nnc(-c3ccccc3)n2n1,5.555,2470.0,nM
CHEMBL2348960,FC(F)(F)c1ccc(Sc2ccc3nnc(-c4ccccc4)n3n2)cc1,5.460000000000001,2026.0,nM
CHEMBL2348959,FC(F)(F)c1cccc(Sc2ccc3nnc(Cc4cccs4)n3n2)c1,4.71,19542.0,nM
CHEMBL2348958,FC(F)(F)c1cccc(Sc2ccc3nnc(C4CCNCC4)n3n2)c1,4.66,22128.0,nM
CHEMBL2348957,FC(F)(F)c1cccc(Sc2ccc3nnc(C4CCOCC4)n3n2)c1,5.484999999999999,2020.0,nM
CHEMBL2346687,FC(F)(F)c1cccc(Sc2ccc3nnc(C4CCCC4)n3n2)c1,6.05,511.0,nM
CHEMBL2348956,FC(F)(F)c1cccc(Sc2ccc3nnc(C4CC4)n3n2)c1,6.255,309.0,nM
CHEMBL2348955,Fc1ccc(-c2nnc3ccc(Sc4cccc(C(F)(F)F)c4)nn23)cc1,6.46,179.0,nM
CHEMBL2348954,FC(F)(F)c1cccc(Sc2ccc3nnc(-c4cccc(N5CCNCC5)c4)n3n2)c1,6.88,55.0,nM
CHEMBL2348953,FC(F)(F)c1cccc(Sc2ccc3nnc(-c4cccc(Cl)c4)n3n2)c1,6.9350000000000005,51.0,nM
CHEMBL2348952,FC(F)(F)c1cccc(Sc2ccc3nnc(-c4ccccc4Cl)n3n2)c1,5.735,1023.0,nM
CHEMBL2348951,FC(F)(F)c1cccc(Sc2ccc3nnc(-c4ccncc4)n3n2)c1,6.335,253.0,nM
CHEMBL2348950,FC(F)(F)c1cccc(Sc2ccc3nnc(-c4cccnc4)n3n2)c1,6.9350000000000005,64.0,nM
CHEMBL2348949,FC(F)(F)c1cccc(Sc2ccc3nnc(-c4ccccn4)n3n2)c1,7.07,45.0,nM
CHEMBL2348948,FC(F)(F)c1cccc(Sc2ccc3nnc(-c4sccc4Br)n3n2)c1,6.54,134.0,nM
CHEMBL2348943,COC(=O)C(C)Sc1ccc2ncc(-c3cccs3)n2n1,7.5600000000000005,10.0,nM
CHEMBL2348942,FC(F)(F)c1cccc(Sc2cn3c(-c4cccs4)cnc3cn2)c1,5.5649999999999995,2168.0,nM
CHEMBL2348941,FC(F)(F)c1cccc(Sc2ccc3ncc(-c4cccs4)n3c2)c1,5.63,1313.0,nM
CHEMBL2348940,FC(F)(F)c1cccc(Sc2ccc3cnc(-c4cccs4)n3n2)c1,5.055,7270.0,nM
CHEMBL2348939,FC(F)(F)c1cccc(Sc2ccc3ncc(-c4cccs4)n3n2)c1,7.165,47.0,nM
CHEMBL2348937,COC(=O)C(C)Sc1ccc2nnc(-c3cccs3)n2n1,6.484999999999999,200.0,nM
CHEMBL2348936,FC(F)(F)c1cccc(Sc2ccc3nnc(-c4ccccc4)n3n2)c1,6.96,50.0,nM
CHEMBL2397014,COc1cc(N2CCOCC2)ccc1Nc1ncc(F)c(Nc2ccccc2NS(C)(=O)=O)n1,8.316666666666668,7.0,nM
CHEMBL2397013,CS(=O)(=O)O.O=C1Nc2ccc(-c3cccnc3)cc2/C1=C/c1ccc[nH]1,7.66,22.0,nM
CHEMBL535,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,7.47625,15.0,nM
CHEMBL2403364,COc1ccc2c(c1)/C(=C/c1cc3c([nH]1)CCN(C(=O)N1CCOCC1)C3)C(=O)N2C,6.82,150.0,nM
CHEMBL2403377,CC(=O)N1CCc2[nH]c(/C=C3\C(=O)Nc4ccc(C#N)cc43)cc2C1,8.15,7.0,nM
CHEMBL2403376,CC(=O)N1CCc2[nH]c(/C=C3\C(=O)Nc4ccc(C(F)(F)F)cc43)cc2C1,7.51,31.0,nM
CHEMBL2403375,CC(=O)N1CCc2[nH]c(/C=C3\C(=O)Nc4ccc(OC(C)C)cc43)cc2C1,8.4,4.0,nM
CHEMBL2403374,CC(=O)Nc1ccc2c(c1)/C(=C/c1cc3c([nH]1)CCN(C(=O)N1CCOCC1)C3)C(=O)N2,8.4,4.0,nM
CHEMBL2403371,COc1ccc2c(c1)/C(=C/c1[nH]c3c(c1Cl)CN(C(C)=O)CC3)C(=O)N2,8.1,8.0,nM
CHEMBL2403370,COc1ccc2c(c1)/C(=C/c1cc3c([nH]1)CCN(C(=O)N1CCOCC1)C3)C(=O)N2,8.52,3.0,nM
CHEMBL2403369,COc1ccc2c(c1)/C(=C/c1cc3c([nH]1)CCN(C(=O)N1CCN(C)CC1)C3)C(=O)N2,8.05,9.0,nM
CHEMBL2403368,COc1ccc2c(c1)/C(=C/c1cc3c([nH]1)CCN(C(=O)c1cnoc1C)C3)C(=O)N2,8.15,7.0,nM
CHEMBL2403367,COc1ccc2c(c1)/C(=C/c1cc3c([nH]1)CCN(C(C)=O)C3)C(=O)N2,7.85,14.0,nM
CHEMBL2403366,COc1ccc2c(c1)/C(=C/c1cc3c([nH]1)CCN(C(=O)CCN)C3)C(=O)N2,7.96,11.0,nM
CHEMBL2403365,COc1ccc2c(c1)/C(=C/c1[nH]c(C)c(C(=O)NCCCN)c1C)C(=O)N2,7.34,46.0,nM
CHEMBL2436979,COc1cc(-c2cnc3[nH]c(=O)n(-c4ccc5[nH]ccc5c4)c3n2)cc(OC)c1OC,5.53,2970.0,nM
CHEMBL2436981,Nc1ccc(-c2cnc3[nH]cc(-c4ccc5[nH]ccc5c4)c3c2)cn1,7.34,46.0,nM
CHEMBL2436980,COc1cc(-c2cnc3[nH]cc(-c4ccc5[nH]ccc5c4)c3c2)cc(OC)c1OC,7.46,35.0,nM
CHEMBL2436978,CN1CCN(Cc2ccc(-c3cnc4[nH]cc(-c5ccc6[nH]ccc6c5)c4c3)cc2)CC1,7.96,11.0,nM
CHEMBL2436982,COc1cc(-c2cnc3[nH]cc(-c4ccc(N)nc4)c3c2)cc(OC)c1OC,8.3,5.0,nM
CHEMBL2441273,CCc1ccc2nc(Nc3cc(Cc4ccccc4)nc(N[C@H]4CC[C@H](O)CC4)n3)sc2c1,6.4,398.11,nM
CHEMBL3122117,CNc1nc(Nc2cnn([C@H]3CCN(C4COC4)C[C@@H]3F)c2Cl)ncc1C(F)(F)F,7.725,18.7,nM
CHEMBL3122116,CNc1nc(Nc2cn([C@H]3CCN(C4COC4)C[C@H]3F)nc2C)ncc1C(F)(F)F,7.85,14.0,nM
CHEMBL3122122,CNc1nc(Nc2cnn(C3CCN(C4COC4)CC3)c2C)ncc1C(F)(F)F,7.7,20.0,nM
CHEMBL3122121,CNc1nc(Nc2cnn(C3CCOCC3)c2C)ncc1C(F)(F)F,7.96,11.0,nM
CHEMBL3122120,CNc1nc(Nc2cnn(C3COC3)c2C)ncc1C(F)(F)F,7.54,29.0,nM
CHEMBL3122118,CNc1nc(Nc2cnn(C3(C#N)CC3)c2Cl)ncc1C(F)(F)F,7.66,22.0,nM
CHEMBL3122115,CNc1nc(Nc2cn(C3(C#N)CC3)nc2C)ncc1C(F)(F)F,7.52,30.0,nM
