molecule_chembl_id,canonical_smiles,pchembl_value,standard_value,standard_units
CHEMBL304339,C(=N/Nc1ncnc2c1cnn2-c1ccccn1)\c1ccncc1,5.9,1258.93,nM
CHEMBL65987,COc1cccc(-n2ncc3c(N/N=C/c4ccc(C(=O)NCCS(C)(=O)=O)cc4)ncnc32)c1,8.1,7.943,nM
CHEMBL302969,COc1cccc(-n2ncc3c(N/N=C(\C)c4ccncc4)ncnc32)c1,7.2,63.1,nM
CHEMBL67562,Fc1cccc(-n2ncc3c(N/N=C/c4ccncc4)ncnc32)c1,6.5,316.23,nM
CHEMBL305477,COc1cccc(/C=N/Nc2ncnc3c2cnn3-c2cccc(OC)c2)c1,7.6,25.12,nM
CHEMBL303630,COc1cccc(-n2ncc3c(N/N=C/c4ccc(N)cc4)ncnc32)c1,8.6,2.512,nM
CHEMBL308293,CCCc1c(-c2ccc(OC)cc2)[nH]c2nccnc12,6.4,400.0,nM
CHEMBL77264,COc1ccc(-c2[nH]c3nccnc3c2C)cc1,6.34,460.0,nM
CHEMBL75680,CCCCc1c(-c2ccc(O)cc2)[nH]c2nccnc12,6.005000000000001,650.0,nM
CHEMBL307941,Clc1ccc(C2(c3cc4[nH]ccnc-4n3)CC2)cc1,6.0,1000.0,nM
CHEMBL305627,c1coc(-c2cc3[nH]ccnc-3n2)c1,4.82,15000.0,nM
CHEMBL310036,Clc1ccc(-c2[nH]c3nccnc3c2Cc2ccccc2)cc1,5.17,6800.0,nM
CHEMBL77267,c1c[nH]c2cc(-c3ccc(C4OCCO4)cc3)nc-2n1,4.7,20000.0,nM
CHEMBL76942,COc1ccc(-c2[nH]c3nccnc3c2CCCCl)cc1,5.6,2500.0,nM
CHEMBL76740,COc1ccc(-c2[nH]c3nccnc3c2CC2CC2)cc1,5.96,1100.0,nM
CHEMBL77584,Oc1ccccc1-c1cc2[nH]ccnc-2n1,5.19,6500.0,nM
CHEMBL80785,Oc1ccc(-c2cc3[nH]ccnc-3n2)cc1,5.92,1200.0,nM
CHEMBL77416,c1ccc(-c2cc3[nH]ccnc-3n2)nc1,4.82,15000.0,nM
CHEMBL77066,COc1ccc(-c2cc3[nH]ccnc-3n2)cc1,5.96,1100.0,nM
